ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Số lượng tồn kho ít,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí,Tên thuộc tính 1,Giá trị thuộc tính 1,Thuộc tính hiển thị 1,Thuộc tính toàn cục 1,Tên thuộc tính 2,Giá trị thuộc tính 2,Thuộc tính hiển thị 2,Thuộc tính toàn cục 2,Tên thuộc tính 3,Giá trị thuộc tính 3,Thuộc tính hiển thị 3,Thuộc tính toàn cục 3,Tên thuộc tính 4,Giá trị thuộc tính 4,Thuộc tính hiển thị 4,Thuộc tính toàn cục 4
787,simple,AS180 4T0045,Biến tần,1,0,visible,Công suất (kw): 45  \n  Dòng điện (A): 94 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"710,87",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),45,1,1,Dòng điện (A),94,1,1,Hiệu suất(%),94,1,1,,,,
788,simple,AS180 4T0055,Biến tần,1,0,visible,Công suất (kw): 55  \n  Dòng điện (A): 115 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"892,5",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),55,1,1,Dòng điện (A),115,1,1,Hiệu suất(%),94,1,1,,,,
789,simple,AS180 4T0075,Biến tần,1,0,visible,Công suất (kw): 75  \n  Dòng điện (A): 154 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"1074,99",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),75,1,1,Dòng điện (A),154,1,1,Hiệu suất(%),94,1,1,,,,
790,simple,AS180 4T0090,Biến tần,1,0,visible,Công suất (kw): 90  \n  Dòng điện (A): 183 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"1431,28",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),90,1,1,Dòng điện (A),183,1,1,Hiệu suất(%),94,1,1,,,,
791,simple,AS180 4T0110,Biến tần,1,0,visible,Công suất (kw): 110  \n  Dòng điện (A): 216 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"1594,18",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),110,1,1,Dòng điện (A),216,1,1,Hiệu suất(%),94,1,1,,,,
792,simple,AS180 4T0132,Biến tần,1,0,visible,Công suất (kw): 132  \n  Dòng điện (A): 261 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"1791,03",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),132,1,1,Dòng điện (A),261,1,1,Hiệu suất(%),94,1,1,,,,
793,simple,AS180 4T0160,Biến tần,1,0,visible,Công suất (kw): 160  \n  Dòng điện (A): 306 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"2238,17",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),160,1,1,Dòng điện (A),306,1,1,Hiệu suất(%),94,1,1,,,,
794,simple,AS180 4T0185,Biến tần,1,0,visible,Công suất (kw): 185  \n  Dòng điện (A): 367 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"2550,07",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),185,1,1,Dòng điện (A),367,1,1,Hiệu suất(%),94,1,1,,,,
795,simple,AS180 4T0200,Biến tần,1,0,visible,Công suất (kw): 200  \n  Dòng điện (A): 402 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"2999,92",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),200,1,1,Dòng điện (A),402,1,1,Hiệu suất(%),94,1,1,,,,
796,simple,AS180 4T0220,Biến tần,1,0,visible,Công suất (kw): 220  \n  Dòng điện (A): 427 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"3661,66",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),220,1,1,Dòng điện (A),427,1,1,Hiệu suất(%),94,1,1,,,,
797,simple,AS180 4T0250,Biến tần,1,0,visible,Công suất (kw): 250  \n  Dòng điện (A): 481 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"4153,62",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),250,1,1,Dòng điện (A),481,1,1,Hiệu suất(%),94,1,1,,,,
798,simple,AS180 4T0280,Biến tần,1,0,visible,Công suất (kw): 280  \n  Dòng điện (A): 533 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"4439,29",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),280,1,1,Dòng điện (A),533,1,1,Hiệu suất(%),94,1,1,,,,
799,simple,AS180 4T0315,Biến tần,1,0,visible,Công suất (kw): 315  \n  Dòng điện (A): 614 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"4760,44",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),315,1,1,Dòng điện (A),614,1,1,Hiệu suất(%),94,1,1,,,,
